stat,_id,reading,ts,user
game.score.pct_classified,54856d34f6858f1d30b869be,0.75,1418030388.36,42f4b6cc-66d7-3a64-b88f-f01fdb52ea70
game.score.mine_minus_optimal,54856d34f6858f1d30b869bf,0,1418030388.37,42f4b6cc-66d7-3a64-b88f-f01fdb52ea70
game.score.all_drive_minus_mine,54856d34f6858f1d30b869c0,0.354923510047,1418030388.37,42f4b6cc-66d7-3a64-b88f-f01fdb52ea70
game.score.sb375_daily_goal,54856d34f6858f1d30b869c1,0.937420145595,1418030388.37,42f4b6cc-66d7-3a64-b88f-f01fdb52ea70
game.score,54856d34f6858f1d30b869c2,57.5219067574,1418030388.37,42f4b6cc-66d7-3a64-b88f-f01fdb52ea70
view.choice,5480ccf788f663649ac20d1e,game,1417727223.28,428ad63d-023d-3a67-80d9-2214f04f89c4
view.choice,5480cd0188f663649ac20d24,data,1417727233.33,428ad63d-023d-3a67-80d9-2214f04f89c4
footprint.my_carbon,5481822888f663769f32d94e,0.0,1417773608.8,7327a0b3-4959-31f5-86cb-ea0c59fd0c83
footprint.my_carbon.no_air,5481822888f663769f32d94f,0.0,1417773608.8,7327a0b3-4959-31f5-86cb-ea0c59fd0c83
footprint.optimal,5481822888f663769f32d950,0.0,1417773608.8,7327a0b3-4959-31f5-86cb-ea0c59fd0c83
footprint.optimal.no_air,5481822888f663769f32d951,0.0,1417773608.8,7327a0b3-4959-31f5-86cb-ea0c59fd0c83
footprint.alldrive,5481822888f663769f32d952,0.0,1417773608.8,7327a0b3-4959-31f5-86cb-ea0c59fd0c83
footprint.mean,5481822888f663769f32d953,16.3689600878,1417773608.8,7327a0b3-4959-31f5-86cb-ea0c59fd0c83
footprint.mean.no_air,5481822888f663769f32d954,16.3689600878,1417773608.8,7327a0b3-4959-31f5-86cb-ea0c59fd0c83
footprint.my_carbon,5481822f88f663769f32d955,0.0,1417773615.57,3c001bfa-8c2a-3077-8181-51c0d45f6540
footprint.my_carbon.no_air,5481822f88f663769f32d956,0.0,1417773615.57,3c001bfa-8c2a-3077-8181-51c0d45f6540
footprint.optimal,5481822f88f663769f32d957,0.0,1417773615.57,3c001bfa-8c2a-3077-8181-51c0d45f6540
footprint.optimal.no_air,5481822f88f663769f32d958,0.0,1417773615.57,3c001bfa-8c2a-3077-8181-51c0d45f6540
footprint.alldrive,5481822f88f663769f32d959,0.0,1417773615.57,3c001bfa-8c2a-3077-8181-51c0d45f6540
footprint.mean,5481822f88f663769f32d95a,16.3689600878,1417773615.57,3c001bfa-8c2a-3077-8181-51c0d45f6540
footprint.mean.no_air,5481822f88f663769f32d95b,16.3689600878,1417773615.57,3c001bfa-8c2a-3077-8181-51c0d45f6540
game.score,5481823688f663769f32d95c,91.0,1417773622.48,951779de-a10c-3373-b186-c1c9b14b5e38
footprint.my_carbon,5481823d88f663769f32d95d,154.532407707,1417773629.25,e211dd91-423f-31ff-a1f8-89e5fdecc164
footprint.my_carbon.no_air,5481823d88f663769f32d95e,154.532407707,1417773629.25,e211dd91-423f-31ff-a1f8-89e5fdecc164
footprint.optimal,5481823d88f663769f32d95f,51.1402212554,1417773629.25,e211dd91-423f-31ff-a1f8-89e5fdecc164
footprint.optimal.no_air,5481823d88f663769f32d960,51.1402212554,1417773629.25,e211dd91-423f-31ff-a1f8-89e5fdecc164
footprint.alldrive,5481823d88f663769f32d961,154.833041641,1417773629.25,e211dd91-423f-31ff-a1f8-89e5fdecc164
footprint.mean,5481823d88f663769f32d962,16.3689600878,1417773629.25,e211dd91-423f-31ff-a1f8-89e5fdecc164
footprint.mean.no_air,5481823d88f663769f32d963,16.3689600878,1417773629.25,e211dd91-423f-31ff-a1f8-89e5fdecc164
footprint.my_carbon,5481824488f663769f32d964,0.0,1417773636.04,f8fee20c-0f32-359d-ba75-bce97a7ac83b
footprint.my_carbon.no_air,5481824488f663769f32d965,0.0,1417773636.04,f8fee20c-0f32-359d-ba75-bce97a7ac83b
footprint.optimal,5481824488f663769f32d966,0.0,1417773636.04,f8fee20c-0f32-359d-ba75-bce97a7ac83b
footprint.optimal.no_air,5481824488f663769f32d967,0.0,1417773636.04,f8fee20c-0f32-359d-ba75-bce97a7ac83b
footprint.alldrive,5481824488f663769f32d968,0.0,1417773636.04,f8fee20c-0f32-359d-ba75-bce97a7ac83b
footprint.mean,5481824488f663769f32d969,16.3689600878,1417773636.04,f8fee20c-0f32-359d-ba75-bce97a7ac83b
footprint.mean.no_air,5481824488f663769f32d96a,16.3689600878,1417773636.04,f8fee20c-0f32-359d-ba75-bce97a7ac83b
footprint.my_carbon,5481824a88f663769f32d96b,0.0,1417773642.83,8e230f78-6e37-3588-bf2c-6888a5b63c82
footprint.my_carbon.no_air,5481824a88f663769f32d96c,0.0,1417773642.83,8e230f78-6e37-3588-bf2c-6888a5b63c82
footprint.optimal,5481824a88f663769f32d96d,0.0,1417773642.83,8e230f78-6e37-3588-bf2c-6888a5b63c82
